Game Title,Genre(s),User Rating (out of 100),Year,Summary,Director,Starring,Certificate
Meow Motors,Action,N/A%,2018.0,No information filled,unspecified,unspecified,unspecified
Farmer Fury,Action,N/A%,2020.0,Your farm has been taken over by an unstoppable strain of killer mutant weeds. Only you can save your animals from the terrible mutant menace.,unspecified,Shawn Rego,E10+
Army Men: World War - Team Assault,Action,N/A%,2001.0,The long ongoing war between the Tan and Green armies may finally be at an end. The Tan army is in the midst of creating weapons of mass destruction to finally put an end to the Green army and the war once and for all. It's now up to the player to guide a team of Green army commandos to put a stop to the Tan army's plans.,unspecified,unspecified,unspecified
James Bond Needs You,"Action, Adventure, Thriller",N/A%,2013.0,"Here is a natural language James Bond text adventure. This game will put you in the shoes of a MI6 agent, and James Bond will be your partner. You will guide Bond through his mission and help him decide which methods to use. Each mission will test your mettle in life-and-death scenarios requiring such skills as cunning, insight, and resourcefulness, and has a number of different outcomes. It's your job to find the best solution for each mission. And remember you have limited time to complete each mission. So, are you ready to serve for MI6?",unspecified,unspecified,unspecified
Sporting Shotgun,Action,N/A%,1977.0,"Shooting Gallery features 32 variations of target shooting for one or two players. Games feature various targets that run, swim, or fly across the screen for the player to shoot at. Later releases contained an additional modifier for 64 variations. The players are displayed at the bottom of the screen with animals moving in different layers above them.",unspecified,unspecified,unspecified
Return Fire,Action,85%,1995.0,"Return Fire features both One and Two Player modes. Play alone, or engage your closest enemy with a Split Screen view. Each mode features 9 different levels of play, over 100 maps, and four vehicles with which to attack your enemy's base, perform reconnaissance, defend your territory, and capture you enemy's flag.",Baron RK Von Wolfsheild,Robert J. Mical,M
Lunar Explorer,"Action, Sci-Fi",N/A%,1986.0,"Lunar Explorer is a real-time 3D simulation of flight from lunar orbit to moon landing. Using either keyboard or joystick controls, the player must master the forces of gravity and inertial motion as he maneuvers a Lunar Landing Vehicle (LLV) over hazardous terrain. Flights can begin at the Tranquility Base landing pad, in close approach to the lunar base, or in orbit around the Moon. This LLV simulator exposes moon pilots to the dangers of inaccurate navigation, inefficient fuel consumption, and incorrect maneuvering. If fuel is consumed before the LLV reaches its destination, the craft will either crash into the lunar surface or orbit the Moon ""forever."" The cockpit window presents the lunar landscape from the pilot's perspective. Solid color 3-D graphics depict important environmental features such as lunar bases, refueling stations, craters, and constellations. The accompanying manual not only describes how to operate the game, but also describes in detail NASA's hypothetical plans for a space station and lunar mining facility. Another section describes the game's use in the classroom.",unspecified,Larry Roberts,unspecified
Biped,"Animation, Action, Adventure",68%,2020.0,"Two little bipedal robots, Aku and Sila, will walk side by side and embark on a fun and bonding journey.",unspecified,unspecified,unspecified
Gridlee,Action,N/A%,1983.0,No information filled,unspecified,unspecified,unspecified
Gold Hunter,"Action, Adventure",N/A%,1992.0,An action arcade game. Your task is to reach the gold placed in a well.,unspecified,unspecified,unspecified
