Game Title,Genre(s),User Rating (out of 100),Year,Summary,Director,Starring,Certificate
Call of Duty: WWII,"Action, Drama, Horror",77%,2017.0,You play various American servicemen and their allies in World War II as the Western Allies fight their way through Europe during and after the invasion of Normandy.,"Michael Condrey, Glen A. Schofield, Dennis Adams, István Kovács, Bret Robbins","Josh Duhamel, Jonathan Tucker, Jeffrey Pierce, Brett Zimmerman",M
Call of Duty: Black Ops Cold War,"Action, Drama, Horror",71%,2020.0,"Set during the early 80s of the Cold War, the campaign follows CIA operative Russel Adler as he pursues an alleged Soviet spy, whose goal is to subvert the United States and tilt the balance of power towards the Soviet Union.",unspecified,"David Agranov, Damon Victor Allen, Jeff Bergman, Creed Bratton",M
Assassin's Creed II,"Action, Adventure, History",%,2009.0,"Desmond Miles is trained to become a modern-day Assassin through the resurrected memories of ancestor Ezio Auditore da Firenze, who uncovers a massive Templar conspiracy in Renaissance Italy leading to the new Pope.","Sylvain Bernard, Shea Wageman","Roger Craig Smith, Kristen Bell, Nolan North, Fred Tatasciore",M
The Dark Pictures: House of Ashes,"Action, Adventure, Horror",77%,2021.0,"A group of American marines comes across an underground nest of pure, ancient evil while trekking through the Arabian desert.","Aletta Collins, Will Doyle","Ashley Tisdale, Paul Zinno, Alex Gravenstein, Moe Jeudy-Lamour",M
Overwatch 2,"Action, Adventure, Fantasy",57%,2022.0,The sequel to 2016s vastly popular First Person Shooter arena video game Overwatch.,unspecified,"Aaron Phillips, Anjali Bhimani, Aysha Selim, Benz Antoine",T
Batman Begins,"Action, Adventure, Crime",82%,2005.0,"You play as Batman and unleash your terror into the hearts of criminals, battling against foes such as Dr. Jonathan Crane/The Scarecrow, Ra's al Ghul, and Carmine ""The Roman"" Falcone.",unspecified,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes",T
Mass Effect 3,"Action, Adventure, Drama",91%,2012.0,"Earth is under attack by a monstrous race of gigantic living ships known as the Reapers. Even if Commander Shepard could unite all surviving species in the galaxy, only a miracle could save them. Then again, Shepard did come back from the dead.",Casey Hudson,"Jennifer Hale, Mark Meer, Kimberly Brooks, Raphael Sbarge",M
The Elder Scrolls IV: Oblivion,"Action, Adventure, Fantasy",%,2006.0,"After being freed by the Emperor of Tamriel, the hero must prevent the gates of Oblivion from spreading throughout the Empire.",Todd Howard,"Sean Bean, Lynda Carter, Terence Stamp, Patrick Stewart",T
Midnight Suns,"Action, Adventure, Fantasy",84%,2022.0,"Set in the darker side of the Marvel Universe, putting you face-to-face against demonic forces of the underworld as you team up with and live among the Midnight Suns, Earth's last line of defense.","Chad Rocco, Jacob Solomon","Elizabeth Grullon, Matthew Mercer, Rick Pasqualone, Michael Jai White",T
Mass Effect: Legendary Edition,"Action, Adventure, Drama",96%,2021.0,A compilation of the first three Mass Effect games.,"Casey Hudson, Mac Walters","Steven Barr, Kimberly Brooks, Keith David, Seth Green",M
Kingdom Hearts,"Action, Adventure, Family",92%,2002.0,"When his world is destroyed and his friends mysteriously disappear, a young boy named Sora is thrust into a quest to find his missing friends and prevent the armies of darkness from destroying many other worlds.",Tetsuya Nomura,"Miyu Irino, Mamoru Miyano, Risa Uchida, Kôichi Yamadera",E
Heavy Rain,"Action, Crime, Drama",88%,2010.0,"As a child goes missing, his father tirelessly works to rescue him, while a journalist, an FBI agent, and a private detective try to identify his kidnapper known only as the ""Origami Killer"".",David Cage,"Pascal Langdale, Jacqui Ainsley, Judi Beecher, Sam Douglas",M
Dragon Age: Inquisition,"Action, Adventure, Fantasy",86%,2014.0,"When the Conclave is destroyed, leaving only one survivor, demons are loosed up on the world. In an attempt to restore order and save the world, the survivor--now the inquisitor-- instigates the long forgotten inquisition.","Mike Laidlaw, Pierre Michel-Estival","Harry Hadden-Paton, Alix Wilton Regan, Jon Curry, Sumalee Montano",M
BioShock,"Action, Adventure, Horror",91%,2007.0,"In 1960, a lone survivor of a plane crash named Jack discovers an abandoned underwater utopia, only to find out that the mystery behind its creation is much more sinister than he first believed.",Ken Levine,"John Ahlin, Greg Baldwin, Jane Beller, Susanne Blakeslee",M
Call of Duty: Black Ops II,"Action, Adventure, Horror",%,2012.0,"Set in 2025, new unmanned machines have been taken over by Nicaraguan terrorist, Raul Menendez, forcing the U.S.A. to take action.",Dave Anthony,"Sam Worthington, Michael Keaton, Michael Rooker, James C. Burns",M
Ratchet & Clank: Rift Apart,"Action, Adventure, Comedy",88%,2021.0,"They've travelled through space. They've travelled through time. Now, they'll have to travel through dimensions as their galaxy seems to rip itself apart. Ratchet and Clank must save the universe - again.",unspecified,"James Arnold Taylor, Jennifer Hale, David Kaye, Debra Wilson",E10+
Destiny 2: The Witch Queen,Action,81%,2022.0,Take back the light from Savathûn in an all-new story.,Luke Smith,"Allyson Kulavis, April Stewart, Bill Nighy, Brandon O'Neill",T
Mafia: Definitive Edition,"Action, Crime, Drama",83%,2020.0,The game follows Thomas Angelo where his life as a hard-working taxi driver is forever changed after a fateful run-in with the Italian Mafia.,Alex Cox,"Andrew Bongiorno, Glenn Taranto, Steven J. Oliver, Don DiPetta",M
God of War II,"Action, Adventure, Fantasy",92%,2007.0,"After being betrayed by the gods of Olympus and annulled of his divine powers, Kratos must embark on a journey to meet the Sisters of Fate and take his revenge on Olympus.",Cory Barlog,"Linda Hunt, Terrence 'T.C.' Carson, Michael Clarke Duncan, Carole Ruggier",16+
A Way Out,"Action, Adventure, Crime",%,2018.0,"Prison inmates Vincent and Leo initially clash, but after Vincent helps Leo win a fight, they warm up to each other and decide to escape together.",Josef Fares,"Fares Fares, Eric Krogh, Andrea Deck, Jessica Calmhede",M
Call of Duty: Modern Warfare 3,"Action, Thriller",81%,2011.0,"The Russian Federation continues its invasion of the U.S., as well as Europe, including England, France and Germany.","Michael Condrey, Glen A. Schofield","Billy Murray, Bruce Greenwood, Idris Elba, Kevin McKidd",M
Uncharted 2: Among Thieves,"Action, Adventure, Fantasy",93%,2009.0,"After being tracked down by Harry Flynn, Nathan Drake goes on a quest for Marco Polo's lost fleet. However when things take an unexpected turn for the worst, Drake must rely on those closest to him in order to find the Cintomani Stone.","Amy Hennig, Bruce Straley","Nolan North, Emily Rose, Claudia Black, Richard McGonagle",T
BioShock Infinite,"Action, Adventure, Drama",91%,2013.0,"A man is sent to the flying city of Columbia to find a missing girl. However, upon arrival he discovers that the city, its people, and his objective are all not what they seem.",Ken Levine,"Troy Baker, Courtnee Draper, Kiff VandenHeuvel, Laura Bailey",M
Resident Evil 4,"Action, Horror, Sci-Fi",92%,2005.0,"Six years after the events in Raccoon City, Leon Kennedy, now a federal agent, is sent to a rural part of Spain to rescue the U.S. President's kidnapped daughter, Ashley Graham from a sinister cult.","Shinji Mikami, Kuniomi Matsushita","Paul Mercier, Carolyn Lawrence, Rino Romano, Salli Saffioti",M
Forspoken,"Action, Adventure, Drama",47%,2023.0,A young woman named Frey Holland awakens in the land of Athia and must embark on an adventure and endure treacherous trials to uncover the mystery the land hides.,"Takeshi Aramaki, Tom Keegan","Ella Balinska, Jonathan Cake, Monica Barbaro, Anthony Skordi",M
Mortal Kombat X,"Action, Adventure, Fantasy",82%,2015.0,"Two years after the death of Shao Khan, the heroes of Earthrealm must face their fallen comrades and prevent Shinnok from corrupting the Jinsei, the source of Earthrealm's life-force.",Dominic Cianciolo,"Troy Baker, Ronald M. Banks, Steve Blum, Johnny Yong Bosch",M
Assassin's Creed III,"Action, Adventure, History",79%,2012.0,"The American Colonies, 1775. It's a time of civil unrest and political upheaval in the Americas. As a Native American fights to protect his land and his people, he will ignite the flames of a young nation's revolution.",Shea Wageman,"Noah Watts, Neil Napier, Robin Atkin Downes, Adrian Hough",M
Resident Evil VII: Biohazard,"Action, Crime, Drama",86%,2017.0,An ordinary man must embark on a search to find his missing wife that leads him to an abandoned house where a mysterious family lives who harbor an evil secret within the house and themselves.,Koushi Nakanishi,"Todd Soley, Katie O'Hagan, Jack Brand, Sara Coates",M
Lego Star Wars: The Skywalker Saga,"Action, Adventure, Comedy",87%,2022.0,Play through all nine Star Wars films in a LEGO Game of epic proportions.,James McLoughlin,"A.J. LoCascio, Adam Diggle, Adam Howden, Adrian Edmondson",E10+
The Legend of Zelda: Breath of the Wild,"Action, Adventure, Fantasy",94%,2017.0,"After a century of hibernation, Link reawakens to once again save a ruined Hyrule from a great evil.","Hidemaro Fujibayashi, Hiroki Hirano, Kentaro Tominaga","Kengo Takanashi, Yû Shimamura, Kôji Takeda, Noboru Yamaguchi",E10+
Hitman 3,"Action, Crime, Mystery",85%,2021.0,"Together with Diana Burnwood and Lucas Grey, Agent 47 must face off against The Constant and his mysterious colleagues to take down Providence once and for all.",Mattias Engström,"David Bateson, Jane Perry, John Hopkins, Philip Rosch",M
Twisted Metal,"Action, Crime, Fantasy",76%,1995.0,"On Christmas Eve of 2005, demonic Calypso is organizing his tenth annual Twisted Metal car combat deathmatch contest on the streets of L.A. Whoever wins gets to make one wish and Calypso has to grant it, but usually with a sinister twist.",Michael D. Jackson,"Charles Lance, Aimée Leigh, Dean Andre, Robert Goodens",T
Mafia III,"Action, Crime, Drama",%,2016.0,"After the murder of his surrogate family at the hands of the Italian mafia, Vietnam War veteran Lincoln Clay seeks vengeance on those who took away the only thing that mattered to him.",unspecified,"Alex Hernandez, Lane Compton, Gordon Greene, Rick Pasqualone",M
Borderlands 3,"Action, Adventure, Comedy",%,2019.0,"In this FPS/RPG, Troy and Tyreen Calypso learn of other Vaults beyond the planet Pandora, and form a violent cult named the ""Children of the Vault"" to gain possession of them, while Lilith recruits the ""Vault Hunter"" to get to them first.","Mo Davoudian, Paul Sage","Chris Hardwick, Ice-T, Penn & Teller, SungWon Cho",M
Resident Evil 3,"Action, Crime, Horror",78%,2020.0,Re-imagining of,"Yukio Ando, Yasuhiro Anpo, Kiyohiko Sakata, Yasuhiro Seto","Nicole Tompkins, Jeff Schine, Neil Newbon, William Hope",M
Uncharted: The Lost Legacy,"Action, Adventure, Thriller",85%,2017.0,"Chloe returns in The Lost Legacy on the hunt for an ancient Indian artifact, the fabled Tusk of Ganesh. To help uncover the Tusk and keep it out of the hands of a ruthless warmonger, she enlists the help of mercenary Nadine Ross.","Shaun Escayg, Kurt Margenau","Claudia Black, Laura Bailey, Troy Baker, Usman Ally",T
Fallout 76,"Action, Adventure, Sci-Fi",44%,2018.0,"Twenty-five years after the bombs fall, you and your fellow Vault Dwellers - chosen from the nation's best and brightest - emerge into post-nuclear America.",Todd Howard,"Ron Perlman, Adrienne Barbeau, Chris Anthony Lansdowne, Sunkrish Bala",M
Dying Light 2: Stay Human,"Action, Adventure, Horror",77%,2022.0,"Fifteen years after the virus in Harran, the infected world is plunged into a modern dark age, where players deal with bandits and factions during the day and the infected at night.","Marc Albinet, Danny Baldwin, Adrian Ciszewski, Thomas Mitchells","Jonah Scott, Rosario Dawson, Jonathan Forbes, David Belle",M
Dead Island 2,"Action, Adventure, Comedy",77%,2023.0,"Several months after the events on Banoi, California is put under full quarantine, becoming a bloody paradise and an action-packed playground for renegades who seek adventure and glory.",unspecified,"Skye Bennett, Jay Rincon, Carolina Ravassa, Michelle Fox",M
Half-Life 2,"Action, Adventure, Sci-Fi",94%,2004.0,"Dr. Freeman is taken out of stasis by his ""employer"" to help rid the planet of invading aliens forces known as the Combine that entered through the portals he helped create.",David Speyrer,"Robert Guillaume, Robert Culp, Louis Gossett Jr., Michelle Forbes",M
Atomic Heart,"Action, Adventure, Crime",64%,2023.0,A system failure at a soviet facility leads machines to rebel against humans. Major P-3's task is to eliminate the consequences of the accident and prevent the leakage of classified information threatening to destroy the whole world.,Artyom Galeev,"Alexander Lomov, Nikita Semyonov-Prozorovskiy, Maria Rudenko, Oleg Kursachev",M
Metal Gear Solid,"Action, Adventure, Drama",96%,1998.0,"A crack government anti-terrorist squad takes over an obscure Alaskan nuclear disposal facility. Solid Snake is up for the task to infiltrate the facility, rescue the two hostages and thwart the terrorists' plans.",Hideo Kojima,"David Hayter, Patric Zimmerman, Peter Lurie, Akio Ôtsuka",M
Lollipop Chainsaw,"Action, Adventure, Comedy",75%,2012.0,"Juliet Starling uncovers the root of a zombie outbreak. She must balance the drama of high school while carrying out her zombie-hunting lineage and chainsaw skills to string together lethal combo moves, taking out scores of the undead.","Tomo Ikeda, Suda 51","Tara Strong, Michael Rosenbaum, Kimberly Brooks, Linda Cardellini",M
Mass Effect: Andromeda,"Action, Adventure, Drama",%,2017.0,"The Andromeda Initiative sets a course for a new galaxy, hoping to find a new home for the species of the Milky Way.",Mac Walters,"Fryda Wolff, Tom Taylorson, Jules de Jongh, Nyasha Hatendi",M
Lego Dimensions,"Action, Adventure, Comedy",77%,2015.0,"When a mysterious and powerful vortex appears in various lego worlds, Batman, Gandalf and Wyldstyle bravely jump into the vortex and travel through space and time to rescue their friends.","James McLoughlin, Arthur Parsons, Justin Villiers, Jon Burton","Will Arnett, Sean Astin, Dan Aykroyd, Laura Bailey",E10+
Assassin's Creed Mirage,"Action, Adventure, History",N/A%,2023.0,"You are Basim, a cunning street thief in the ninth-century Baghdad that become a deadly Assassin through a mysterious organization known as the Hidden Ones.",Stephane Boudon,"Lee Majdoub, Shohreh Aghdashloo, Sophia Eleni, Aladeen Tawfeek",M
